"pid","tpc","qn","ans"
1291,"Self-control","controversial","1"
1291,"Self-control","familiar","5"
1291,"Self-control","heard-of-last-week","no"
1291,"Self-control","how-often-talk-colleagues","1"
1291,"Self-control","how-often-talk-family","1"
1291,"Self-control","important","4"
1291,"Self-control","interesting","5"
1291,"Self-control","learn-more","4"
1291,"Self-control","understandable","6"
1291,"Socioeconomic Inequality","controversial","6"
1291,"Socioeconomic Inequality","familiar","5"
1291,"Socioeconomic Inequality","heard-of-last-week","no"
1291,"Socioeconomic Inequality","how-often-talk-colleagues","1"
1291,"Socioeconomic Inequality","how-often-talk-family","1"
1291,"Socioeconomic Inequality","important","6"
1291,"Socioeconomic Inequality","interesting","4"
1291,"Socioeconomic Inequality","learn-more","6"
1291,"Socioeconomic Inequality","understandable","5"
1291,"Neuroscience","controversial","1"
1291,"Neuroscience","familiar","3"
1291,"Neuroscience","heard-of-last-week","no"
1291,"Neuroscience","how-often-talk-colleagues","1"
1291,"Neuroscience","how-often-talk-family","1"
1291,"Neuroscience","important","5"
1291,"Neuroscience","interesting","5"
1291,"Neuroscience","learn-more","6"
1291,"Neuroscience","understandable","4"
1291,"Politics","controversial","7"
1291,"Politics","familiar","2"
1291,"Politics","heard-of-last-week","yes"
1291,"Politics","how-often-talk-colleagues","1"
1291,"Politics","how-often-talk-family","1"
1291,"Politics","important","5"
1291,"Politics","interesting","4"
1291,"Politics","learn-more","5"
1291,"Politics","understandable","3"
1291,"AI","controversial","6"
1291,"AI","familiar","5"
1291,"AI","heard-of-last-week","yes"
1291,"AI","how-often-talk-colleagues","1"
1291,"AI","how-often-talk-family","1"
1291,"AI","important","7"
1291,"AI","interesting","7"
1291,"AI","learn-more","7"
1291,"AI","understandable","5"
1292,"Gender Inequality","controversial","3"
1292,"Gender Inequality","familiar","5"
1292,"Gender Inequality","heard-of-last-week","no"
1292,"Gender Inequality","how-often-talk-colleagues","1"
1292,"Gender Inequality","how-often-talk-family","1"
1292,"Gender Inequality","important","4"
1292,"Gender Inequality","interesting","2"
1292,"Gender Inequality","learn-more","2"
1292,"Gender Inequality","understandable","6"
1292,"Politics","controversial","4"
1292,"Politics","familiar","6"
1292,"Politics","heard-of-last-week","yes"
1292,"Politics","how-often-talk-colleagues","2"
1292,"Politics","how-often-talk-family","3"
1292,"Politics","important","5"
1292,"Politics","interesting","5"
1292,"Politics","learn-more","4"
1292,"Politics","understandable","5"
1292,"Cognitive Skills","controversial","1"
1292,"Cognitive Skills","familiar","3"
1292,"Cognitive Skills","heard-of-last-week","no"
1292,"Cognitive Skills","how-often-talk-colleagues","1"
1292,"Cognitive Skills","how-often-talk-family","1"
1292,"Cognitive Skills","important","3"
1292,"Cognitive Skills","interesting","1"
1292,"Cognitive Skills","learn-more","2"
1292,"Cognitive Skills","understandable","4"
1292,"Sports","controversial","1"
1292,"Sports","familiar","4"
1292,"Sports","heard-of-last-week","no"
1292,"Sports","how-often-talk-colleagues","2"
1292,"Sports","how-often-talk-family","2"
1292,"Sports","important","1"
1292,"Sports","interesting","1"
1292,"Sports","learn-more","1"
1292,"Sports","understandable","6"
1292,"AI","controversial","5"
1292,"AI","familiar","4"
1292,"AI","heard-of-last-week","no"
1292,"AI","how-often-talk-colleagues","3"
1292,"AI","how-often-talk-family","2"
1292,"AI","important","5"
1292,"AI","interesting","4"
1292,"AI","learn-more","4"
1292,"AI","understandable","3"
1293,"Cognitive Skills","controversial","1"
1293,"Cognitive Skills","familiar","4"
1293,"Cognitive Skills","heard-of-last-week","no"
1293,"Cognitive Skills","how-often-talk-colleagues","1"
1293,"Cognitive Skills","how-often-talk-family","2"
1293,"Cognitive Skills","important","6"
1293,"Cognitive Skills","interesting","5"
1293,"Cognitive Skills","learn-more","2"
1293,"Cognitive Skills","understandable","4"
1293,"Covid","controversial","5"
1293,"Covid","familiar","7"
1293,"Covid","heard-of-last-week","no"
1293,"Covid","how-often-talk-colleagues","1"
1293,"Covid","how-often-talk-family","2"
1293,"Covid","important","6"
1293,"Covid","interesting","4"
1293,"Covid","learn-more","5"
1293,"Covid","understandable","7"
1293,"Neuroscience","controversial","1"
