playerNr,question_name,answer
1,wtatest,15
2,wtatest,0
3,wtatest,NA
4,wtatest,NA
5,wtatest,0
6,wtatest,15
7,wtatest,15
8,wtatest,20
9,wtatest,0
10,wtatest,15
11,wtatest,5
12,wtatest,0
13,wtatest,NA
14,wtatest,0
15,wtatest,15
16,wtatest,5
17,wtatest,NA
18,wtatest,15
19,wtatest,15
20,wtatest,NA
21,wtatest,0
22,wtatest,15
23,wtatest,0
24,wtatest,15
25,wtatest,0
26,wtatest,15
27,wtatest,15
28,wtatest,NA
29,wtatest,15
30,wtatest,NA
31,wtatest,NA
32,wtatest,15
33,wtatest,NA
34,wtatest,6
35,wtatest,15
36,wtatest,3
37,wtatest,15
38,wtatest,15
39,wtatest,30
40,wtatest,16
41,wtatest,20
42,wtatest,NA
43,wtatest,NA
44,wtatest,30
45,wtatest,0
46,wtatest,0
47,wtatest,15
48,wtatest,0
49,wtatest,15
50,wtatest,4
51,wtatest,14
52,wtatest,15
53,wtatest,15
54,wtatest,15
55,wtatest,1
56,wtatest,0
57,wtatest,15
58,wtatest,16
59,wtatest,15
60,wtatest,NA
61,wtatest,8
62,wtatest,0
63,wtatest,15
64,wtatest,30
65,wtatest,0
66,wtatest,NA
67,wtatest,14
68,wtatest,0
69,wtatest,15
70,wtatest,NA
71,wtatest,NA
72,wtatest,NA
73,wtatest,NA
74,wtatest,0
75,wtatest,0
76,wtatest,20
78,wtatest,NA
79,wtatest,15
80,wtatest,15
81,wtatest,30
82,wtatest,15
83,wtatest,15
84,wtatest,NA
85,wtatest,20
86,wtatest,10
1,wta1,0
2,wta1,13
3,wta1,NA
4,wta1,NA
5,wta1,0
6,wta1,0
7,wta1,0
8,wta1,20
9,wta1,0
10,wta1,0
11,wta1,0
12,wta1,0
13,wta1,NA
14,wta1,0
15,wta1,29
16,wta1,0
17,wta1,NA
18,wta1,0
19,wta1,0
20,wta1,NA
21,wta1,0
22,wta1,0
23,wta1,0
24,wta1,1
25,wta1,0
26,wta1,0
27,wta1,0
28,wta1,NA
29,wta1,0
30,wta1,NA
31,wta1,NA
32,wta1,0
33,wta1,NA
34,wta1,0
35,wta1,0
36,wta1,0
37,wta1,0
38,wta1,0
39,wta1,0
40,wta1,0
41,wta1,0
42,wta1,NA
43,wta1,NA
44,wta1,4
45,wta1,0
46,wta1,0
47,wta1,0
48,wta1,0
49,wta1,0
50,wta1,0
51,wta1,0
52,wta1,0
53,wta1,0
54,wta1,1
55,wta1,0
56,wta1,0
57,wta1,0
58,wta1,5
59,wta1,0
60,wta1,NA
61,wta1,0
62,wta1,0
63,wta1,0
64,wta1,0
65,wta1,0
66,wta1,NA
67,wta1,0
68,wta1,0
69,wta1,3
70,wta1,NA
71,wta1,NA
72,wta1,NA
73,wta1,NA
74,wta1,0
75,wta1,0
76,wta1,0
78,wta1,NA
79,wta1,0
80,wta1,0
81,wta1,0
82,wta1,0
83,wta1,0
84,wta1,NA
85,wta1,20
86,wta1,0
1,wta2,0
2,wta2,17
3,wta2,NA
4,wta2,NA
5,wta2,0
6,wta2,0
7,wta2,0
8,wta2,20
9,wta2,0
10,wta2,0
11,wta2,3
12,wta2,1
13,wta2,NA
14,wta2,0
15,wta2,30
16,wta2,0
17,wta2,NA
18,wta2,0
19,wta2,0
20,wta2,NA
21,wta2,0
22,wta2,0
23,wta2,0
24,wta2,2
25,wta2,0
26,wta2,0
27,wta2,0
28,wta2,NA
29,wta2,0
30,wta2,NA
31,wta2,NA
32,wta2,0
33,wta2,NA
34,wta2,0
35,wta2,0
36,wta2,0
37,wta2,0
38,wta2,0
39,wta2,0
40,wta2,3
41,wta2,0
42,wta2,NA
43,wta2,NA
